Country,State,County,Population,Metropolitan Area
United States,Alaska,Aleutians West,5511,
United States,Alaska,Bethel,17758,
United States,Alaska,Bristol Bay,960,
United States,Alaska,Denali,1867,
United States,Alaska,Dillingham,5010,
United States,Alaska,Haines,2592,
United States,Alaska,Hoonah-Angoon,2145,
United States,Alaska,Kenai Peninsula,57147,
United States,Alaska,Kodiak Island,14135,
United States,Alaska,Lake and Peninsula,1648,
United States,Alaska,Nome,9892,
United States,Alaska,North Slope,9686,
United States,Alaska,Northwest Arctic,7685,
United States,Alaska,Petersburg,3774,
United States,Alaska,Prince of Wales-Hyder,5786,
United States,Alaska,Sitka,9020,
United States,Alaska,Skagway,995,
United States,Alaska,Southeast Fairbanks,6985,
United States,Alaska,Valdez-Cordova,9763,
United States,Alaska,Kusilvak,7977,
United States,Alaska,Wrangell,2400,
United States,Alaska,Yakutat,642,
United States,Alaska,Yukon-Koyukuk,5695,
United States,American Samoa,Eastern District[12],23030,
United States,American Samoa,Manu'a District[12],1143,
United States,American Samoa,Rose Atoll (Rose Island)[12],0,
United States,American Samoa,Swains Island[12],17,
United States,American Samoa,Western District[12],31329,
United States,Arizona,Apache,71934,
United States,Arizona,Greenlee,9049,
United States,Arizona,La Paz,20324,
United States,Arkansas,Arkansas,18777,
United States,Arkansas,Ashley,21283,
United States,Arkansas,Bradley,11249,
United States,Arkansas,Carroll,27808,
United States,Arkansas,Chicot,11335,
United States,Arkansas,Clay,15402,
United States,Arkansas,Cleburne,25686,
United States,Arkansas,Conway,21245,
United States,Arkansas,Cross,17548,
United States,Arkansas,Dallas,7933,
United States,Arkansas,Desha,12505,
United States,Arkansas,Drew,18785,
United States,Arkansas,Franklin,18034,
United States,Arkansas,Fulton,12304,
United States,Arkansas,Hempstead,22474,
United States,Arkansas,Howard,13581,
United States,Arkansas,Izard,13368,
United States,Arkansas,Jackson,17615,
United States,Arkansas,Johnson,25846,
United States,Arkansas,Lafayette,7252,
United States,Arkansas,Lawrence,17011,
United States,Arkansas,Lee,10015,
United States,Arkansas,Logan,22082,
United States,Arkansas,Marion,16430,
United States,Arkansas,Monroe,7682,
United States,Arkansas,Montgomery,9226,
United States,Arkansas,Nevada,8799,
United States,Arkansas,Pike,11177,
United States,Arkansas,Polk,20406,
United States,Arkansas,Prairie,8374,
United States,Arkansas,Randolph,17692,
United States,Arkansas,Scott,10950,
United States,Arkansas,Searcy,8023,
United States,Arkansas,Sevier,17366,
United States,Arkansas,Sharp,17049,
United States,Arkansas,Stone,12581,
United States,Arkansas,Van Buren,16932,
United States,Arkansas,Woodruff,7072,
United States,California,Alpine,1159,
United States,California,Amador,36519,
United States,California,Calaveras,44515,
United States,California,Colusa,21358,
United States,California,Glenn,27940,
United States,California,Inyo,18467,
United States,California,Mariposa,17755,
United States,California,Modoc,9147,
United States,California,Mono,14074,
United States,California,Plumas,18859,
United States,California,Sierra,3047,
United States,California,Siskiyou,43799,
United States,California,Trinity,13448,
United States,Colorado,Alamosa,16253,
United States,Colorado,Archuleta,12194,
United States,Colorado,Baca,3682,
United States,Colorado,Bent,5688,
United States,Colorado,Chaffee,18510,
United States,Colorado,Cheyenne,1890,
United States,Colorado,Conejos,8277,
United States,Colorado,Costilla,3518,
United States,Colorado,Crowley,5322,
United States,Colorado,Custer,4285,
United States,Colorado,Delta,30483,
United States,Colorado,Dolores,2029,
United States,Colorado,Grand,14289,
United States,Colorado,Gunnison,15507,
United States,Colorado,Hinsdale,813,
United States,Colorado,Huerfano,6519,
United States,Colorado,Jackson,1365,
United States,Colorado,Kiowa,1423,
United States,Colorado,Kit Carson,8037,
United States,Colorado,Lake,7306,
United States,Colorado,Las Animas,14446,
United States,Colorado,Lincoln,5430,
United States,Colorado,Mineral,721,
United States,Colorado,Montezuma,25642,
United States,Colorado,Otero,18703,
United States,Colorado,Ouray,4557,
United States,Colorado,Phillips,4356,
United States,Colorado,Prowers,12291,
United States,Colorado,Rio Blanco,6807,
United States,Colorado,Rio Grande,11803,
United States,Colorado,Saguache,6208,
United States,Colorado,San Juan,692,
United States,Colorado,San Miguel,7678,
United States,Colorado,Sedgwick,2360,
United States,Colorado,Washington,4803,
United States,Colorado,Yuma,10151,
United States,Florida,Bradford,26850,
United States,Florida,Calhoun,14682,
United States,Florida,Dixie,15940,
United States,Florida,Franklin,11598,
United States,Florida,Glades,13345,
United States,Florida,Hamilton,14354,
United States,Florida,Holmes,19717,
United States,Florida,Jackson,48922,
United States,Florida,Lafayette,8848,
United States,Florida,Levy,39644,
United States,Florida,Liberty,8349,
United States,Florida,Madison,18728,
United States,Florida,Suwannee,43734,
United States,Florida,Taylor,22857,
United States,Florida,Union,15136,
United States,Florida,Washington,24624,
United States,Georgia,Appling,18440,
United States,Georgia,Atkinson,8290,
United States,Georgia,Bacon,11216,
United States,Georgia,Banks,18415,
United States,Georgia,Berrien,19048,
United States,Georgia,Bleckley,12771,
United States,Georgia,Calhoun,6523,
United States,Georgia,Candler,10937,
United States,Georgia,Charlton,13255,
United States,Georgia,Clay,3045,
United States,Georgia,Clinch,6795,
United States,Georgia,Cook,17066,
United States,Georgia,Dodge,21221,
United States,Georgia,Dooly,14304,
United States,Georgia,Early,10542,
United States,Georgia,Elbert,19599,
United States,Georgia,Emanuel,22867,
United States,Georgia,Evans,10833,
United States,Georgia,Fannin,23760,
United States,Georgia,Franklin,22009,
United States,Georgia,Gilmer,28579,
United States,Georgia,Glascock,3102,
United States,Georgia,Grady,25278,
United States,Georgia,Greene,16321,
United States,Georgia,Hart,25446,
United States,Georgia,Irwin,9427,
United States,Georgia,Jeff Davis,15004,
United States,Georgia,Jefferson,16320,
United States,Georgia,Jenkins,9269,
United States,Georgia,Lumpkin,30918,
United States,Georgia,Macon,14009,
United States,Georgia,Miller,5932,
United States,Georgia,Mitchell,23045,
United States,Georgia,Putnam,21371,
United States,Georgia,Quitman,2367,
United States,Georgia,Rabun,16235,
United States,Georgia,Randolph,7197,
United States,Georgia,Screven,14240,
United States,Georgia,Seminole,8945,
United States,Georgia,Stewart,5868,
United States,Georgia,Talbot,6456,
United States,Georgia,Taliaferro,1703,
United States,Georgia,Tattnall,25526,
United States,Georgia,Taylor,8464,
United States,Georgia,Telfair,16591,
United States,Georgia,Towns,10771,
United States,Georgia,Treutlen,6712,
United States,Georgia,Turner,8134,
United States,Georgia,Union,21566,
United States,Georgia,Warren,5558,
United States,Georgia,Washington,20676,
United States,Georgia,Webster,2719,
United States,Georgia,Wheeler,7909,
United States,Georgia,White,27797,
United States,Georgia,Wilcox,8960,
United States,Georgia,Wilkes,10010,
United States,Georgia,Wilkinson,9432,
United States,Guam,Guam[9],162742,
United States,Idaho,Adams,3828,
United States,Idaho,Bear Lake,5943,
United States,Idaho,Benewah,9044,
United States,Idaho,Boundary,10853,
United States,Idaho,Caribou,6808,
United States,Idaho,Clark,867,
United States,Idaho,Clearwater,8577,
United States,Idaho,Custer,4249,
United States,Idaho,Gooding,15080,
United States,Idaho,Idaho,16116,
United States,Idaho,Lemhi,7712,
United States,Idaho,Lewis,3902,
United States,Idaho,Oneida,4275,
United States,Idaho,Power,7719,
United States,Idaho,Shoshone,12690,
United States,Idaho,Valley,9606,
United States,Idaho,Washington,9944,
United States,Illinois,Brown,6860,
United States,Illinois,Carroll,14910,
United States,Illinois,Cass,13324,
United States,Illinois,Clark,16182,
United States,Illinois,Clay,13566,
United States,Illinois,Crawford,19505,
United States,Illinois,Douglas,19887,
United States,Illinois,Edgar,17960,
United States,Illinois,Edwards,6672,
United States,Illinois,Fayette,22060,
United States,Illinois,Franklin,39202,
United States,Illinois,Gallatin,5415,
United States,Illinois,Greene,13629,
United States,Illinois,Hamilton,8368,
United States,Illinois,Hardin,4181,
United States,Illinois,Iroquois,28982,
United States,Illinois,Jasper,9592,
United States,Illinois,Jo Daviess,22407,
United States,Illinois,Johnson,12677,
United States,Illinois,Lawrence,16558,
United States,Illinois,Mason,14248,
United States,Illinois,Montgomery,29654,
United States,Illinois,Moultrie,14876,
United States,Illinois,Perry,21887,
United States,Illinois,Pike,16150,
United States,Illinois,Pope,4312,
United States,Illinois,Pulaski,5908,
United States,Illinois,Randolph,32890,
United States,Illinois,Richland,16182,
United States,Illinois,Saline,24939,
United States,Illinois,Schuyler,7444,
United States,Illinois,Shelby,22119,
United States,Illinois,Union,17583,
United States,Illinois,Wabash,11665,
United States,Illinois,Warren,17726,
United States,Illinois,Washington,14448,
United States,Illinois,Wayne,16612,
United States,Illinois,White,14549,
United States,Indiana,Blackford,12481,
United States,Indiana,Crawford,10621,
United States,Indiana,Fountain,16880,
United States,Indiana,Franklin,22951,
United States,Indiana,Fulton,20449,
United States,Indiana,Gibson,33612,
United States,Indiana,Greene,32781,
United States,Indiana,Jay,21330,
United States,Indiana,LaGrange,37996,
United States,Indiana,Martin,10160,
United States,Indiana,Orange,19773,
United States,Indiana,Parke,17202,
United States,Indiana,Perry,19558,
United States,Indiana,Pulaski,13007,
United States,Indiana,Randolph,25627,
United States,Indiana,Ripley,28419,
United States,Indiana,Rush,17004,
United States,Indiana,Spencer,20944,
United States,Indiana,Starke,23197,
United States,Indiana,Switzerland,10526,
United States,Indiana,Tipton,15650,
United States,Indiana,Warren,8415,
United States,Indiana,White,24466,
United States,Iowa,Adair,7472,
United States,Iowa,Adams,3894,
United States,Iowa,Allamakee,14169,
United States,Iowa,Appanoose,12692,
United States,Iowa,Audubon,5873,
United States,Iowa,Buchanan,20976,
United States,Iowa,Butler,15021,
United States,Iowa,Calhoun,9926,
United States,Iowa,Carroll,20598,
United States,Iowa,Cass,13598,
United States,Iowa,Cedar,18393,
United States,Iowa,Cherokee,11945,
United States,Iowa,Chickasaw,12321,
United States,Iowa,Clarke,9325,
United States,Iowa,Clayton,17773,
United States,Iowa,Crawford,17434,
United States,Iowa,Decatur,8136,
United States,Iowa,Delaware,17534,
United States,Iowa,Emmet,9996,
United States,Iowa,Fayette,20502,
United States,Iowa,Floyd,16092,
United States,Iowa,Franklin,10548,
United States,Iowa,Fremont,7080,
United States,Iowa,Greene,9139,
United States,Iowa,Hamilton,15312,
United States,Iowa,Hancock,11094,
United States,Iowa,Hardin,17441,
United States,Iowa,Henry,20222,
United States,Iowa,Howard,9526,
United States,Iowa,Humboldt,9688,
United States,Iowa,Ida,7141,
United States,Iowa,Iowa,16330,
United States,Iowa,Jackson,19587,
United States,Iowa,Keokuk,10329,
United States,Iowa,Kossuth,15321,
United States,Iowa,Louisa,11282,
United States,Iowa,Lucas,8746,
United States,Iowa,Lyon,11712,
United States,Iowa,Marion,33252,
United States,Iowa,Mitchell,10709,
United States,Iowa,Monona,9121,
United States,Iowa,Monroe,8012,
United States,Iowa,Montgomery,10424,
United States,Iowa,O'Brien,14044,
United States,Iowa,Osceola,6211,
United States,Iowa,Page,15713,
United States,Iowa,Palo Alto,9185,
United States,Iowa,Pocahontas,7154,
United States,Iowa,Poweshiek,18601,
United States,Iowa,Ringgold,5072,
United States,Iowa,Sac,10071,
United States,Iowa,Shelby,11961,
United States,Iowa,Sioux,34547,
United States,Iowa,Tama,17576,
United States,Iowa,Taylor,6161,
United States,Iowa,Union,12583,
United States,Iowa,Van Buren,7436,
United States,Iowa,Wayne,6402,
United States,Iowa,Winnebago,10554,
United States,Iowa,Winneshiek,20994,
United States,Iowa,Wright,12972,
United States,Kansas,Allen,13124,
United States,Kansas,Anderson,7897,
United States,Kansas,Barber,4947,
United States,Kansas,Bourbon,14852,
United States,Kansas,Brown,9997,
United States,Kansas,Chase,2700,
United States,Kansas,Chautauqua,3552,
United States,Kansas,Cherokee,20978,
United States,Kansas,Cheyenne,2694,
United States,Kansas,Clark,2193,
United States,Kansas,Clay,8406,
United States,Kansas,Cloud,9292,
United States,Kansas,Coffey,8412,
United States,Kansas,Comanche,1955,
United States,Kansas,Decatur,2930,
United States,Kansas,Dickinson,19609,
United States,Kansas,Edwards,2945,
United States,Kansas,Elk,2655,
United States,Kansas,Ellsworth,6398,
United States,Kansas,Gove,2769,
United States,Kansas,Graham,2593,
United States,Kansas,Grant,7950,
United States,Kansas,Gray,6009,
United States,Kansas,Greeley,1290,
United States,Kansas,Greenwood,6424,
United States,Kansas,Hamilton,2609,
United States,Kansas,Harper,5860,
United States,Kansas,Haskell,4141,
United States,Kansas,Hodgeman,1950,
United States,Kansas,Jewell,3046,
United States,Kansas,Kiowa,2523,
United States,Kansas,Lane,1720,
United States,Kansas,Lincoln,3147,
United States,Kansas,Logan,2798,
United States,Kansas,Marion,12219,
United States,Kansas,Marshall,10002,
United States,Kansas,Meade,4343,
United States,Kansas,Mitchell,6378,
United States,Kansas,Morris,5741,
United States,Kansas,Morton,3143,
United States,Kansas,Nemaha,10161,
United States,Kansas,Neosho,16430,
United States,Kansas,Ness,3073,
United States,Kansas,Norton,5622,
United States,Kansas,Osborne,3818,
United States,Kansas,Pawnee,6971,
United States,Kansas,Phillips,5540,
United States,Kansas,Pratt,9878,
United States,Kansas,Rawlins,2589,
United States,Kansas,Republic,4820,
United States,Kansas,Rice,10011,
United States,Kansas,Rooks,5190,
United States,Kansas,Rush,3186,
United States,Kansas,Russell,6933,
United States,Kansas,Scott,5035,
United States,Kansas,Sheridan,2553,
United States,Kansas,Sherman,6115,
United States,Kansas,Smith,3706,
United States,Kansas,Stafford,4359,
United States,Kansas,Stanton,2194,
United States,Kansas,Stevens,5816,
United States,Kansas,Thomas,7948,
United States,Kansas,Trego,2980,
United States,Kansas,Wallace,1569,
United States,Kansas,Washington,5629,
United States,Kansas,Wichita,2192,
United States,Kansas,Wilson,9105,
United States,Kansas,Woodson,3221,
United States,Kentucky,Adair,18732,
United States,Kentucky,Breathitt,13545,
United States,Kentucky,Breckinridge,20040,
United States,Kentucky,Caldwell,12823,
United States,Kentucky,Carlisle,5001,
United States,Kentucky,Carroll,10953,
United States,Kentucky,Carter,27202,
United States,Kentucky,Casey,16067,
United States,Kentucky,Clay,21364,
United States,Kentucky,Clinton,10146,
United States,Kentucky,Crittenden,9255,
United States,Kentucky,Cumberland,6789,
United States,Kentucky,Elliott,7637,
United States,Kentucky,Estill,14488,
United States,Kentucky,Fleming,14508,
United States,Kentucky,Floyd,38728,
United States,Kentucky,Garrard,16915,
United States,Kentucky,Grayson,25997,
United States,Kentucky,Green,11180,
United States,Kentucky,Harlan,28499,
United States,Kentucky,Harrison,18518,
United States,Kentucky,Hart,18573,
United States,Kentucky,Hickman,4745,
United States,Kentucky,Jackson,13427,
United States,Kentucky,Johnson,23449,
United States,Kentucky,Knott,15976,
United States,Kentucky,Lawrence,15856,
United States,Kentucky,Lee,7260,
United States,Kentucky,Leslie,11019,
United States,Kentucky,Letcher,23619,
United States,Kentucky,Lewis,13806,
United States,Kentucky,Logan,26876,
United States,Kentucky,Lyon,8451,
United States,Kentucky,McCreary,17989,
United States,Kentucky,Magoffin,12950,
United States,Kentucky,Marion,20045,
United States,Kentucky,Marshall,31107,
United States,Kentucky,Martin,12647,
United States,Kentucky,Mercer,21349,
United States,Kentucky,Monroe,10681,
United States,Kentucky,Morgan,13380,
United States,Kentucky,Muhlenberg,31179,
United States,Kentucky,Nicholas,7039,
United States,Kentucky,Ohio,23988,
United States,Kentucky,Owen,10662,
United States,Kentucky,Owsley,4654,
United States,Kentucky,Perry,28010,
United States,Kentucky,Pike,63380,
United States,Kentucky,Powell,12494,
United States,Kentucky,Robertson,2235,
United States,Kentucky,Rowan,23527,
United States,Kentucky,Russell,17752,
United States,Kentucky,Simpson,17793,
United States,Kentucky,Todd,12503,
United States,Kentucky,Union,15029,
United States,Kentucky,Washington,11875,
United States,Kentucky,Wayne,20678,
United States,Kentucky,Webster,13452,
United States,Kentucky,Wolfe,7248,
United States,Louisiana,Allen,25537,
United States,Louisiana,Assumption,23187,
United States,Louisiana,Avoyelles,41299,
United States,Louisiana,Bienville,13981,
United States,Louisiana,Caldwell,9989,
United States,Louisiana,Catahoula,10238,
United States,Louisiana,Claiborne,16650,
United States,Louisiana,East Carroll,7529,
United States,Louisiana,Evangeline,33578,
United States,Louisiana,Franklin,20571,
United States,Louisiana,Jackson,16112,
United States,Louisiana,Jefferson Davis,31301,
United States,Louisiana,LaSalle,14777,
United States,Louisiana,Madison,11927,
United States,Louisiana,Red River,8894,
United States,Louisiana,Richland,20857,
United States,Louisiana,Sabine,24235,
United States,Louisiana,Tensas,4908,
United States,Louisiana,West Carroll,11465,
United States,Louisiana,Winn,14813,
United States,Maine,Aroostook,70055,
United States,Maine,Franklin,30495,
United States,Maine,Hancock,54845,
United States,Maine,Knox,39550,
United States,Maine,Lincoln,34088,
United States,Maine,Oxford,57277,
United States,Maine,Piscataquis,17124,
United States,Maine,Somerset,51706,
United States,Maine,Waldo,38940,
United States,Maine,Washington,32190,
United States,Maryland,Caroline,32693,
United States,Maryland,Garrett,29889,
United States,Maryland,Kent,19944,
United States,Massachusetts,Nantucket,10399,
United States,Michigan,Alcona,10578,
United States,Michigan,Alger,9522,
United States,Michigan,Antrim,23370,
United States,Michigan,Arenac,15487,
United States,Michigan,Baraga,8695,
United States,Michigan,Charlevoix,26129,
United States,Michigan,Cheboygan,25726,
United States,Michigan,Clare,30569,
United States,Michigan,Crawford,13904,
United States,Michigan,Emmet,33140,
United States,Michigan,Gladwin,25493,
United States,Michigan,Gogebic,15916,
United States,Michigan,Huron,32224,
United States,Michigan,Iosco,25429,
United States,Michigan,Iron,11516,
United States,Michigan,Lake,11386,
United States,Michigan,Luce,6502,
United States,Michigan,Mackinac,11061,
United States,Michigan,Manistee,24450,
United States,Michigan,Montmorency,9350,
United States,Michigan,Newaygo,48001,
United States,Michigan,Oceana,26245,
United States,Michigan,Ogemaw,21234,
United States,Michigan,Ontonagon,6322,
United States,Michigan,Osceola,23259,
United States,Michigan,Oscoda,8379,
United States,Michigan,Otsego,24129,
United States,Michigan,Presque Isle,13062,
United States,Michigan,Roscommon,24014,
United States,Michigan,Sanilac,41823,
United States,Michigan,Schoolcraft,8247,
United States,Michigan,Tuscola,54263,
United States,Minnesota,Aitkin,15742,
United States,Minnesota,Becker,33231,
United States,Minnesota,Big Stone,5122,
United States,Minnesota,Chippewa,12093,
United States,Minnesota,Clearwater,8838,
United States,Minnesota,Cook,5200,
United States,Minnesota,Cottonwood,11616,
United States,Minnesota,Faribault,14191,
United States,Minnesota,Grant,5989,
United States,Minnesota,Hubbard,20658,
United States,Minnesota,Itasca,45564,
United States,Minnesota,Jackson,10260,
United States,Minnesota,Kanabec,15996,
United States,Minnesota,Kittson,4503,
United States,Minnesota,Koochiching,13206,
United States,Minnesota,Lac qui Parle,7027,
United States,Minnesota,Lake,10777,
United States,Minnesota,Lake of the Woods,3929,
United States,Minnesota,Lincoln,5830,
United States,Minnesota,Mahnomen,5532,
United States,Minnesota,Marshall,9425,
United States,Minnesota,Martin,20422,
United States,Minnesota,Meeker,23119,
United States,Minnesota,Morrison,32872,
United States,Minnesota,Murray,8533,
United States,Minnesota,Norman,6631,
United States,Minnesota,Pennington,14118,
United States,Minnesota,Pine,29104,
United States,Minnesota,Pipestone,9270,
United States,Minnesota,Pope,10932,
United States,Minnesota,Red Lake,4057,
United States,Minnesota,Redwood,15744,
United States,Minnesota,Renville,15166,
United States,Minnesota,Rock,9520,
United States,Minnesota,Roseau,15520,
United States,Minnesota,Stevens,9735,
United States,Minnesota,Swift,9546,
United States,Minnesota,Todd,24382,
United States,Minnesota,Traverse,3445,
United States,Minnesota,Wadena,13804,
United States,Minnesota,Waseca,19098,
United States,Minnesota,Watonwan,11137,
United States,Minnesota,Yellow Medicine,10143,
United States,Mississippi,Attala,19317,
United States,Mississippi,Calhoun,14734,
United States,Mississippi,Chickasaw,17311,
United States,Mississippi,Choctaw,8371,
United States,Mississippi,Clay,20408,
United States,Mississippi,Covington,19423,
United States,Mississippi,Franklin,7931,
United States,Mississippi,George,23159,
United States,Mississippi,Greene,14244,
United States,Mississippi,Holmes,18428,
United States,Mississippi,Humphreys,8922,
United States,Mississippi,Issaquena,1395,
United States,Mississippi,Jefferson,7629,
United States,Mississippi,Jefferson Davis,11948,
United States,Mississippi,Lawrence,12514,
United States,Mississippi,Leake,23389,
United States,Mississippi,Marion,26180,
United States,Mississippi,Monroe,36116,
United States,Mississippi,Montgomery,10553,
United States,Mississippi,Neshoba,29507,
United States,Mississippi,Newton,21689,
United States,Mississippi,Noxubee,11089,
United States,Mississippi,Panola,34402,
United States,Mississippi,Prentiss,25388,
United States,Mississippi,Quitman,7803,
United States,Mississippi,Scott,28273,
United States,Mississippi,Sharkey,4708,
United States,Mississippi,Smith,16225,
United States,Mississippi,Stone,18016,
United States,Mississippi,Tallahatchie,15081,
United States,Mississippi,Tippah,22084,
United States,Mississippi,Tishomingo,19529,
United States,Mississippi,Union,27754,
United States,Mississippi,Walthall,14931,
United States,Mississippi,Wayne,20539,
United States,Mississippi,Webster,9987,
United States,Mississippi,Wilkinson,9381,
United States,Mississippi,Winston,18788,
United States,Mississippi,Yalobusha,12373,
United States,Missouri,Atchison,5449,
United States,Missouri,Barry,35572,
United States,Missouri,Barton,12275,
United States,Missouri,Benton,18932,
United States,Missouri,Camden,43862,
United States,Missouri,Carroll,9127,
United States,Missouri,Carter,6291,
United States,Missouri,Cedar,13913,
United States,Missouri,Chariton,7628,
United States,Missouri,Cooper,17647,
United States,Missouri,Crawford,24543,
United States,Missouri,Dade,7578,
United States,Missouri,Daviess,8294,
United States,Missouri,Dent,15730,
United States,Missouri,Douglas,13515,
United States,Missouri,Gasconade,14901,
United States,Missouri,Gentry,6775,
United States,Missouri,Grundy,10355,
United States,Missouri,Harrison,8741,
United States,Missouri,Henry,22059,
United States,Missouri,Hickory,9305,
United States,Missouri,Holt,4568,
United States,Missouri,Howard,10257,
United States,Missouri,Iron,10344,
United States,Missouri,Knox,4067,
United States,Missouri,Lawrence,38185,
United States,Missouri,Linn,12368,
United States,Missouri,Livingston,14871,
United States,Missouri,Macon,15544,
United States,Missouri,Madison,12431,
United States,Missouri,Maries,9018,
United States,Missouri,Mercer,3695,
United States,Missouri,Miller,25092,
United States,Missouri,Mississippi,14282,
United States,Missouri,Monroe,8774,
United States,Missouri,Montgomery,11965,
United States,Missouri,Morgan,20265,
United States,Missouri,New Madrid,18365,
United States,Missouri,Oregon,10996,
United States,Missouri,Ozark,9560,
United States,Missouri,Pemiscot,17823,
United States,Missouri,Perry,19072,
United States,Missouri,Pike,18669,
United States,Missouri,Putnam,4875,
United States,Missouri,Reynolds,6599,
United States,Missouri,Ripley,14032,
United States,Missouri,St. Clair,9487,
United States,Missouri,Ste. Genevieve,17778,
United States,Missouri,Scotland,4921,
United States,Missouri,Shannon,8297,
United States,Missouri,Shelby,6177,
United States,Missouri,Stoddard,29780,
United States,Missouri,Sullivan,6448,
United States,Missouri,Texas,25636,
United States,Missouri,Vernon,20949,
United States,Missouri,Washington,25172,
United States,Missouri,Wayne,13404,
United States,Missouri,Worth,2090,
United States,Missouri,Wright,18473,
United States,Montana,Beaverhead,9341,
United States,Montana,Big Horn,13042,
United States,Montana,Blaine,6604,
United States,Montana,Broadwater,5692,
United States,Montana,Carter,1174,
United States,Montana,Chouteau,5849,
United States,Montana,Custer,11951,
United States,Montana,Daniels,1791,
United States,Montana,Dawson,9445,
United States,Montana,Deer Lodge,9329,
United States,Montana,Fallon,3079,
United States,Montana,Fergus,11501,
United States,Montana,Garfield,1290,
United States,Montana,Glacier,13739,
United States,Montana,Granite,3138,
United States,Montana,Hill,16568,
United States,Montana,Judith Basin,2016,
United States,Montana,Lake,29017,
United States,Montana,Liberty,2369,
United States,Montana,Lincoln,19460,
United States,Montana,McCone,1709,
United States,Montana,Madison,7712,
United States,Montana,Meagher,1937,
United States,Montana,Mineral,4275,
United States,Montana,Musselshell,4629,
United States,Montana,Park,15682,
United States,Montana,Petroleum,506,
United States,Montana,Phillips,4179,
United States,Montana,Pondera,6211,
United States,Montana,Powder River,1748,
United States,Montana,Powell,6993,
United States,Montana,Prairie,1179,
United States,Montana,Ravalli,40823,
United States,Montana,Richland,11214,
United States,Montana,Roosevelt,11125,
United States,Montana,Rosebud,9329,
United States,Montana,Sanders,11363,
United States,Montana,Sheridan,3668,
United States,Montana,Stillwater,9318,
United States,Montana,Sweet Grass,3669,
United States,Montana,Teton,6065,
United States,Montana,Toole,5138,
United States,Montana,Treasure,700,
United States,Montana,Valley,7630,
United States,Montana,Wheatland,2134,
United States,Montana,Wibaux,1121,
United States,Nebraska,Antelope,6456,
United States,Nebraska,Arthur,458,
United States,Nebraska,Blaine,482,
United States,Nebraska,Boone,5388,
United States,Nebraska,Box Butte,11305,
United States,Nebraska,Boyd,2032,
United States,Nebraska,Brown,2926,
United States,Nebraska,Burt,6574,
United States,Nebraska,Butler,8312,
United States,Nebraska,Cedar,8711,
United States,Nebraska,Chase,4000,
United States,Nebraska,Cherry,5788,
United States,Nebraska,Cheyenne,10091,
United States,Nebraska,Clay,6392,
United States,Nebraska,Colfax,10425,
United States,Nebraska,Cuming,8996,
United States,Nebraska,Custer,10792,
United States,Nebraska,Dawes,9088,
United States,Nebraska,Deuel,1937,
United States,Nebraska,Dundy,1981,
United States,Nebraska,Fillmore,5698,
United States,Nebraska,Franklin,3085,
United States,Nebraska,Frontier,2709,
United States,Nebraska,Furnas,4865,
United States,Nebraska,Garden,1902,
United States,Nebraska,Garfield,2035,
United States,Nebraska,Grant,633,
United States,Nebraska,Greeley,2494,
United States,Nebraska,Harlan,3513,
United States,Nebraska,Hayes,976,
United States,Nebraska,Hitchcock,2872,
United States,Nebraska,Holt,10449,
United States,Nebraska,Hooker,738,
United States,Nebraska,Jefferson,7560,
United States,Nebraska,Johnson,5144,
United States,Nebraska,Keith,8130,
United States,Nebraska,Keya Paha,790,
United States,Nebraska,Kimball,3702,
United States,Nebraska,Knox,8565,
United States,Nebraska,Loup,576,
United States,Nebraska,Morrill,4908,
United States,Nebraska,Nance,3623,
United States,Nebraska,Nemaha,7157,
United States,Nebraska,Nuckolls,4413,
United States,Nebraska,Otoe,15752,
United States,Nebraska,Pawnee,2709,
United States,Nebraska,Perkins,2921,
United States,Nebraska,Phelps,9213,
United States,Nebraska,Polk,5275,
United States,Nebraska,Red Willow,11006,
United States,Nebraska,Richardson,8125,
United States,Nebraska,Rock,1411,
United States,Nebraska,Saline,14416,
United States,Nebraska,Sheridan,5251,
United States,Nebraska,Sherman,3106,
United States,Nebraska,Thayer,5189,
United States,Nebraska,Thomas,699,
United States,Nebraska,Thurston,6895,
United States,Nebraska,Valley,4193,
United States,Nebraska,Wayne,9411,
United States,Nebraska,Webster,3688,
United States,Nebraska,Wheeler,759,
United States,Nebraska,York,13883,
United States,Nevada,Esmeralda,832,
United States,Nevada,Lander,6032,
United States,Nevada,Lincoln,5245,
United States,Nevada,Mineral,4614,
United States,Nevada,Pershing,6877,
United States,Nevada,White Pine,10057,
United States,New Hampshire,Carroll,47499,
United States,New Mexico,Catron,3607,
United States,New Mexico,Colfax,13094,
United States,New Mexico,De Baca,1907,
United States,New Mexico,Guadalupe,4551,
United States,New Mexico,Harding,693,
United States,New Mexico,Hidalgo,4654,
United States,New Mexico,Lincoln,20105,
United States,New Mexico,Mora,4704,
United States,New Mexico,Quay,8662,
United States,New Mexico,Sierra,11572,
United States,New Mexico,Socorro,17584,
United States,New Mexico,Union,4370,
United States,New York,Allegany,48109,
United States,New York,Chenango,49503,
United States,New York,Delaware,46722,
United States,New York,Essex,38762,
United States,New York,Greene,48455,
United States,New York,Hamilton,4773,
United States,New York,Lewis,27149,
United States,New York,Schuyler,18460,
United States,New York,Sullivan,76665,
United States,New York,Wyoming,41531,
United States,North Carolina,Alleghany,10939,
United States,North Carolina,Anson,26161,
United States,North Carolina,Ashe,27151,
United States,North Carolina,Avery,17713,
United States,North Carolina,Bertie,20344,
