Country,State,County,Population,Metropolitan Area
United States,Pennsylvania,Luzerne,320103,"Scranton-Wilkes-Barre-Hazleton, PA"
United States,Pennsylvania,Wyoming,28003,"Scranton-Wilkes-Barre-Hazleton, PA"
United States,Arkansas,White,78483,"Searcy, AR"
United States,Washington,King,2044449,"Seattle-Tacoma-Bellevue, WA"
United States,Washington,Pierce,819743,"Seattle-Tacoma-Bellevue, WA"
United States,Washington,Snohomish,745913,"Seattle-Tacoma-Bellevue, WA"
United States,Florida,Indian River,141994,"Sebastian-Vero Beach, FL"
United States,Florida,Highlands,97616,"Sebring, FL"
United States,Missouri,Pettis,42205,"Sedalia, MO"
United States,Pennsylvania,Snyder,39865,"Selinsgrove, PA"
United States,Alabama,Dallas,41996,"Selma, AL"
United States,New York,Seneca,35409,"Seneca Falls, NY"
United States,South Carolina,Oconee,75045,"Seneca, SC"
United States,Tennessee,Sevier,93570,"Sevierville, TN"
United States,Indiana,Jackson,43466,"Seymour, IN"
United States,Wisconsin,Menominee,4317,"Shawano, WI"
United States,Wisconsin,Shawano,41643,"Shawano, WI"
United States,Oklahoma,Pottawatomie,71158,"Shawnee, OK"
United States,Wisconsin,Sheboygan,114922,"Sheboygan, WI"
United States,North Carolina,Cleveland,97047,"Shelby, NC"
United States,Tennessee,Bedford,45901,"Shelbyville, TN"
United States,Washington,Mason,60497,"Shelton, WA"
United States,Wyoming,Sheridan,29824,"Sheridan, WY"
United States,Texas,Grayson,122353,"Sherman-Denison, TX"
United States,Arizona,Navajo,107322,"Show Low, AZ"
United States,Louisiana,Bossier,123823,"Shreveport-Bossier City, LA"
United States,Louisiana,Caddo,254887,"Shreveport-Bossier City, LA"
United States,Louisiana,De Soto,27083,"Shreveport-Bossier City, LA"
United States,Louisiana,Webster,40678,"Shreveport-Bossier City, LA"
United States,Ohio,Shelby,49192,"Sidney, OH"
United States,Arizona,Cochise,129473,"Sierra Vista-Douglas, AZ"
United States,Missouri,Scott,39290,"Sikeston, MO"
United States,New Mexico,Grant,29328,"Silver City, NM"
United States,Iowa,Plymouth,24957,"Sioux City, IA-NE-SD"
United States,Iowa,Woodbury,102130,"Sioux City, IA-NE-SD"
United States,Nebraska,Dakota,20947,"Sioux City, IA-NE-SD"
United States,Nebraska,Dixon,5851,"Sioux City, IA-NE-SD"
United States,South Dakota,Union,14829,"Sioux City, IA-NE-SD"
United States,South Dakota,Lincoln,49858,"Sioux Falls, SD"
United States,South Dakota,McCook,5654,"Sioux Falls, SD"
United States,South Dakota,Minnehaha,179640,"Sioux Falls, SD"
United States,South Dakota,Turner,8361,"Sioux Falls, SD"
United States,Texas,Scurry,17302,"Snyder, TX"
United States,Kentucky,Pulaski,63907,"Somerset, KY"
United States,Pennsylvania,Somerset,76520,"Somerset, PA"
United States,California,Tuolumne,53874,"Sonora, CA"
United States,Indiana,St. Joseph,266709,"South Bend-Mishawaka, IN-MI"
United States,Michigan,Cass,51910,"South Bend-Mishawaka, IN-MI"
United States,South Carolina,Spartanburg,290969,"Spartanburg, SC"
United States,South Carolina,Union,28030,"Spartanburg, SC"
United States,South Dakota,Lawrence,24910,"Spearfish, SD"
United States,Iowa,Clay,16491,"Spencer, IA"
United States,Iowa,Dickinson,16955,"Spirit Lake, IA"
United States,Washington,Pend Oreille,12896,"Spokane-Spokane Valley, WA"
United States,Washington,Spokane,479398,"Spokane-Spokane Valley, WA"
United States,Washington,Stevens,43430,"Spokane-Spokane Valley, WA"
United States,Illinois,Menard,12607,"Springfield, IL"
United States,Illinois,Sangamon,199145,"Springfield, IL"
United States,Massachusetts,Hampden,467319,"Springfield, MA"
United States,Massachusetts,Hampshire,159596,"Springfield, MA"
United States,Missouri,Christian,80899,"Springfield, MO"
United States,Missouri,Dallas,16535,"Springfield, MO"
United States,Missouri,Greene,283870,"Springfield, MO"
United States,Missouri,Polk,30974,"Springfield, MO"
United States,Missouri,Webster,36466,"Springfield, MO"
United States,Ohio,Clark,136167,"Springfield, OH"
United States,Minnesota,Benton,39214,"St. Cloud, MN"
United States,Minnesota,Stearns,152092,"St. Cloud, MN"
United States,Utah,Washington,147800,"St. George, UT"
United States,Kansas,Doniphan,7851,"St. Joseph, MO-KS"
United States,Missouri,Andrew,17445,"St. Joseph, MO-KS"
United States,Missouri,Buchanan,89631,"St. Joseph, MO-KS"
United States,Missouri,DeKalb,12840,"St. Joseph, MO-KS"
United States,Illinois,Bond,17470,"St. Louis, MO-IL"
United States,Illinois,Calhoun,5059,"St. Louis, MO-IL"
United States,Illinois,Clinton,37907,"St. Louis, MO-IL"
United States,Illinois,Jersey,22641,"St. Louis, MO-IL"
United States,Illinois,Macoupin,46880,"St. Louis, MO-IL"
United States,Illinois,Madison,267225,"St. Louis, MO-IL"
United States,Illinois,Monroe,33493,"St. Louis, MO-IL"
United States,Illinois,St. Clair,266955,"St. Louis, MO-IL"
United States,Missouri,Franklin,101816,"St. Louis, MO-IL"
United States,Missouri,Jefferson,221396,"St. Louis, MO-IL"
United States,Missouri,Lincoln,53860,"St. Louis, MO-IL"
United States,Missouri,St. Charles,373495,"St. Louis, MO-IL"
United States,Missouri,St. Louis City,1001444,"St. Louis, MO-IL"
United States,Missouri,Warren,32999,"St. Louis, MO-IL"
United States,Missouri,"St. Louis, City of",318416,"St. Louis, MO-IL"
United States,Georgia,Camden,51476,"St. Marys, GA"
United States,Mississippi,Oktibbeha,49043,"Starkville, MS"
United States,Pennsylvania,Centre,155403,"State College, PA"
United States,Georgia,Bulloch,71214,"Statesboro, GA"
United States,Virginia,Augusta,73912,"Staunton-Waynesboro, VA"
United States,Virginia,Staunton,24350,"Staunton-Waynesboro, VA"
United States,Virginia,Waynesboro,21263,"Staunton-Waynesboro, VA"
United States,Colorado,Routt,23513,"Steamboat Springs, CO"
United States,Texas,Erath,39658,"Stephenville, TX"
United States,Colorado,Logan,22450,"Sterling, CO"
United States,Illinois,Whiteside,57557,"Sterling, IL"
United States,Wisconsin,Portage,70380,"Stevens Point, WI"
United States,Oklahoma,Payne,79066,"Stillwater, OK"
United States,California,San Joaquin,704379,"Stockton-Lodi, CA"
United States,Iowa,Buena Vista,20567,"Storm Lake, IA"
United States,Michigan,St. Joseph,60964,"Sturgis, MI"
United States,Texas,Hopkins,35565,"Sulphur Springs, TX"
United States,Georgia,Chattooga,25138,"Summerville, GA"
United States,Utah,Summit,38486,"Summit Park, UT"
United States,South Carolina,Sumter,108123,"Sumter, SC"
United States,Pennsylvania,Northumberland,94076,"Sunbury, PA"
United States,California,Lassen,32163,"Susanville, CA"
United States,Texas,Nolan,15037,"Sweetwater, TX"
United States,New York,Madison,72382,"Syracuse, NY"
United States,New York,Onondaga,468387,"Syracuse, NY"
United States,New York,Oswego,121165,"Syracuse, NY"
United States,Oklahoma,Cherokee,48017,"Tahlequah, OK"
United States,Alabama,Coosa,10898,"Talladega-Sylacauga, AL"
United States,Alabama,Talladega,81096,"Talladega-Sylacauga, AL"
United States,Florida,Gadsden,46194,"Tallahassee, FL"
United States,Florida,Jefferson,14194,"Tallahassee, FL"
United States,Florida,Leon,281845,"Tallahassee, FL"
United States,Florida,Wakulla,31022,"Tallahassee, FL"
United States,Florida,Hernando,174441,"Tampa-St. Petersburg-Clearwater, FL"
United States,Florida,Hillsborough,1291578,"Tampa-St. Petersburg-Clearwater, FL"
United States,Florida,Pasco,475502,"Tampa-St. Petersburg-Clearwater, FL"
United States,Florida,Pinellas,929048,"Tampa-St. Petersburg-Clearwater, FL"
United States,New Mexico,Taos,33035,"Taos, NM"
United States,Illinois,Christian,34298,"Taylorville, IL"
United States,Indiana,Clay,26803,"Terre Haute, IN"
United States,Indiana,Sullivan,21223,"Terre Haute, IN"
United States,Indiana,Vermillion,15878,"Terre Haute, IN"
United States,Indiana,Vigo,108291,"Terre Haute, IN"
United States,Arkansas,Little River,12730,"Texarkana, TX-AR"
United States,Arkansas,Miller,43402,"Texarkana, TX-AR"
United States,Texas,Bowie,93487,"Texarkana, TX-AR"
United States,Oregon,Wasco,25477,"The Dalles, OR"
United States,Florida,Sumter,107056,"The Villages, FL"
United States,Georgia,Upson,26566,"Thomaston, GA"
United States,Georgia,Thomas,44869,"Thomasville, GA"
United States,Ohio,Seneca,55914,"Tiffin, OH"
United States,Georgia,Tift,40286,"Tifton, GA"
United States,Georgia,Stephens,25683,"Toccoa, GA"
United States,Ohio,Fulton,42488,"Toledo, OH"
United States,Ohio,Lucas,436393,"Toledo, OH"
United States,Ohio,Wood,129264,"Toledo, OH"
United States,Kansas,Jackson,13366,"Topeka, KS"
United States,Kansas,Jefferson,18813,"Topeka, KS"
United States,Kansas,Osage,16142,"Topeka, KS"
United States,Kansas,Shawnee,178831,"Topeka, KS"
United States,Kansas,Wabaunsee,7051,"Topeka, KS"
United States,Connecticut,Litchfield,186924,"Torrington, CT"
United States,Michigan,Benzie,17428,"Traverse City, MI"
United States,Michigan,Grand Traverse,89987,"Traverse City, MI"
United States,Michigan,Kalkaska,17196,"Traverse City, MI"
United States,Michigan,Leelanau,21747,"Traverse City, MI"
United States,New Jersey,Mercer,370414,"Trenton, NJ"
United States,Alabama,Pike,33339,"Troy, AL"
United States,California,Nevada,98200,"Truckee-Grass Valley, CA"
United States,Arizona,Pima,996554,"Tucson, AZ"
United States,Tennessee,Coffee,53357,"Tullahoma-Manchester, TN"
United States,Tennessee,Franklin,41129,"Tullahoma-Manchester, TN"
United States,Tennessee,Moore,6301,"Tullahoma-Manchester, TN"
United States,Oklahoma,Creek,70470,"Tulsa, OK"
United States,Oklahoma,Okmulgee,39438,"Tulsa, OK"
United States,Oklahoma,Osage,47987,"Tulsa, OK"
United States,Oklahoma,Pawnee,16513,"Tulsa, OK"
United States,Oklahoma,Rogers,89044,"Tulsa, OK"
United States,Oklahoma,Tulsa,622409,"Tulsa, OK"
United States,Oklahoma,Wagoner,75700,"Tulsa, OK"
United States,Mississippi,Itawamba,23434,"Tupelo, MS"
United States,Mississippi,Lee,85340,"Tupelo, MS"
United States,Mississippi,Pontotoc,30897,"Tupelo, MS"
United States,Alabama,Hale,15406,"Tuscaloosa, AL"
