Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Argentina,All,3/16/20,56,2,
Argentina,All,3/17/20,65,2,
Argentina,All,3/18/20,79,2,
Armenia,All,12/31/19,0,0,
Armenia,All,1/1/20,0,0,
Armenia,All,1/2/20,0,0,
Armenia,All,1/3/20,0,0,
Armenia,All,1/4/20,0,0,
Armenia,All,1/5/20,0,0,
Armenia,All,1/6/20,0,0,
Armenia,All,1/7/20,0,0,
Armenia,All,1/8/20,0,0,
Armenia,All,1/9/20,0,0,
Armenia,All,1/10/20,0,0,
Armenia,All,1/11/20,0,0,
Armenia,All,1/12/20,0,0,
Armenia,All,1/13/20,0,0,
Armenia,All,1/14/20,0,0,
Armenia,All,1/15/20,0,0,
Armenia,All,1/16/20,0,0,
Armenia,All,1/17/20,0,0,
Armenia,All,1/18/20,0,0,
Armenia,All,1/19/20,0,0,
Armenia,All,1/20/20,0,0,
Armenia,All,1/21/20,0,0,
Armenia,All,1/22/20,0,0,
Armenia,All,1/23/20,0,0,
Armenia,All,1/24/20,0,0,
Armenia,All,1/25/20,0,0,
Armenia,All,1/26/20,0,0,
Armenia,All,1/27/20,0,0,
Armenia,All,1/28/20,0,0,
Armenia,All,1/29/20,0,0,
Armenia,All,1/30/20,0,0,
Armenia,All,1/31/20,0,0,
Armenia,All,2/1/20,0,0,
Armenia,All,2/2/20,0,0,
Armenia,All,2/3/20,0,0,
Armenia,All,2/4/20,0,0,
Armenia,All,2/5/20,0,0,
Armenia,All,2/6/20,0,0,
Armenia,All,2/7/20,0,0,
Armenia,All,2/8/20,0,0,
Armenia,All,2/9/20,0,0,
Armenia,All,2/10/20,0,0,
Armenia,All,2/11/20,0,0,
Armenia,All,2/12/20,0,0,
Armenia,All,2/13/20,0,0,
Armenia,All,2/14/20,0,0,
Armenia,All,2/15/20,0,0,
Armenia,All,2/16/20,0,0,
Armenia,All,2/17/20,0,0,
Armenia,All,2/18/20,0,0,
Armenia,All,2/19/20,0,0,
Armenia,All,2/20/20,0,0,
Armenia,All,2/21/20,0,0,
Armenia,All,2/22/20,0,0,
Armenia,All,2/23/20,0,0,
Armenia,All,2/24/20,0,0,
Armenia,All,2/25/20,0,0,
Armenia,All,2/26/20,0,0,
Armenia,All,2/27/20,0,0,
Armenia,All,2/28/20,0,0,
Armenia,All,2/29/20,0,0,
Armenia,All,3/1/20,1,0,
Armenia,All,3/2/20,1,0,
Armenia,All,3/12/20,4,0,
Armenia,All,3/13/20,6,0,
Armenia,All,3/14/20,13,0,
Armenia,All,3/15/20,20,0,
Armenia,All,3/16/20,30,0,
Armenia,All,3/17/20,52,0,
Armenia,All,3/18/20,78,0,
Australia,All,12/31/19,0,0,
Australia,All,1/1/20,0,0,
Australia,All,1/2/20,0,0,
Australia,All,1/3/20,0,0,
Australia,All,1/4/20,0,0,
Australia,All,1/5/20,0,0,
Australia,All,1/6/20,0,0,
Australia,All,1/7/20,0,0,
Australia,All,1/8/20,0,0,
Australia,All,1/9/20,0,0,
Australia,All,1/10/20,0,0,
Australia,All,1/11/20,0,0,
Australia,All,1/12/20,0,0,
Australia,All,1/13/20,0,0,
Australia,All,1/14/20,0,0,
Australia,All,1/15/20,0,0,
Australia,All,1/16/20,0,0,
Australia,All,1/17/20,0,0,
Australia,All,1/18/20,0,0,
Australia,All,1/19/20,0,0,
Australia,All,1/20/20,0,0,
Australia,All,1/21/20,0,0,
Australia,All,1/22/20,0,0,
Australia,All,1/23/20,0,0,
Australia,All,1/24/20,0,0,
Australia,All,1/25/20,1,0,
Australia,All,1/26/20,4,0,
Australia,All,1/27/20,4,0,
Australia,All,1/28/20,4,0,
Australia,All,1/29/20,4,0,
Australia,All,1/30/20,6,0,
Australia,All,1/31/20,7,0,
Australia,All,2/1/20,9,0,
Australia,All,2/2/20,11,0,
Australia,All,2/3/20,11,0,
Australia,All,2/4/20,11,0,
Australia,All,2/5/20,12,0,
Australia,All,2/6/20,13,0,
Australia,All,2/7/20,14,0,
Australia,All,2/8/20,14,0,
Australia,All,2/9/20,14,0,
Australia,All,2/10/20,14,0,
Australia,All,2/11/20,14,0,
Australia,All,2/12/20,14,0,
Australia,All,2/13/20,14,0,
Australia,All,2/14/20,15,0,
Australia,All,2/15/20,15,0,
Australia,All,2/16/20,15,0,
Australia,All,2/17/20,15,0,
Australia,All,2/18/20,15,0,
Australia,All,2/19/20,15,0,
Australia,All,2/20/20,15,0,
Australia,All,2/21/20,17,0,
Australia,All,2/22/20,21,0,
Australia,All,2/23/20,22,0,
Australia,All,2/24/20,22,0,
Australia,All,2/25/20,22,0,
Australia,All,2/26/20,22,0,
Australia,All,2/27/20,23,0,
Australia,All,2/28/20,23,0,
Australia,All,2/29/20,25,0,
Australia,All,3/1/20,26,1,
Australia,All,3/2/20,29,1,
Australia,All,3/3/20,33,1,
Australia,All,3/4/20,41,1,
Australia,All,3/5/20,52,2,
Australia,All,3/6/20,59,2,
Australia,All,3/7/20,63,2,
Australia,All,3/8/20,74,3,
Australia,All,3/9/20,80,3,
Australia,All,3/10/20,100,3,
Australia,All,3/11/20,112,3,
Australia,All,3/12/20,126,3,
Australia,All,3/13/20,156,3,
Australia,All,3/14/20,197,3,
Australia,All,3/15/20,249,3,
Australia,All,3/16/20,298,5,
Australia,All,3/17/20,375,5,
Australia,All,3/18/20,454,5,
Austria,All,12/31/19,0,0,
Austria,All,1/1/20,0,0,
Austria,All,1/2/20,0,0,
Austria,All,1/3/20,0,0,
Austria,All,1/4/20,0,0,
Austria,All,1/5/20,0,0,
Austria,All,1/6/20,0,0,
Austria,All,1/7/20,0,0,
Austria,All,1/8/20,0,0,
Austria,All,1/9/20,0,0,
Austria,All,1/10/20,0,0,
Austria,All,1/11/20,0,0,
Austria,All,1/12/20,0,0,
Austria,All,1/13/20,0,0,
Austria,All,1/14/20,0,0,
Austria,All,1/15/20,0,0,
Austria,All,1/16/20,0,0,
Austria,All,1/17/20,0,0,
Austria,All,1/18/20,0,0,
Austria,All,1/19/20,0,0,
Austria,All,1/20/20,0,0,
Austria,All,1/21/20,0,0,
Austria,All,1/22/20,0,0,
Austria,All,1/23/20,0,0,
Austria,All,1/24/20,0,0,
Austria,All,1/25/20,0,0,
Austria,All,1/26/20,0,0,
Austria,All,1/27/20,0,0,
Austria,All,1/28/20,0,0,
Austria,All,1/29/20,0,0,
Austria,All,1/30/20,0,0,
Austria,All,1/31/20,0,0,
Austria,All,2/1/20,0,0,
Austria,All,2/2/20,0,0,
Austria,All,2/3/20,0,0,
Austria,All,2/4/20,0,0,
Austria,All,2/5/20,0,0,
Austria,All,2/6/20,0,0,
Austria,All,2/7/20,0,0,
Austria,All,2/8/20,0,0,
Austria,All,2/9/20,0,0,
Austria,All,2/10/20,0,0,
Austria,All,2/11/20,0,0,
Austria,All,2/12/20,0,0,
Austria,All,2/13/20,0,0,
Austria,All,2/14/20,0,0,
Austria,All,2/15/20,0,0,
Austria,All,2/16/20,0,0,
Austria,All,2/17/20,0,0,
Austria,All,2/18/20,0,0,
Austria,All,2/19/20,0,0,
Austria,All,2/20/20,0,0,
Austria,All,2/21/20,0,0,
Austria,All,2/22/20,0,0,
Austria,All,2/23/20,0,0,
Austria,All,2/24/20,0,0,
Austria,All,2/25/20,0,0,
Austria,All,2/26/20,2,0,
Austria,All,2/27/20,2,0,
Austria,All,2/28/20,5,0,
Austria,All,2/29/20,7,0,
Austria,All,3/1/20,10,0,
Austria,All,3/2/20,14,0,
Austria,All,3/3/20,18,0,
Austria,All,3/4/20,24,0,
Austria,All,3/5/20,29,0,
Austria,All,3/6/20,41,0,
Austria,All,3/7/20,74,0,
Austria,All,3/8/20,99,0,
Austria,All,3/9/20,102,0,
Austria,All,3/10/20,131,0,
Austria,All,3/11/20,182,0,
Austria,All,3/12/20,246,0,
Austria,All,3/13/20,361,1,
Austria,All,3/14/20,504,1,
Austria,All,3/15/20,655,1,
Austria,All,3/16/20,860,1,
Austria,All,3/17/20,1016,3,
Austria,All,3/18/20,1332,3,
Azerbaijan,All,12/31/19,0,0,
Azerbaijan,All,1/1/20,0,0,
Azerbaijan,All,1/2/20,0,0,
Azerbaijan,All,1/3/20,0,0,
Azerbaijan,All,1/4/20,0,0,
Azerbaijan,All,1/5/20,0,0,
Azerbaijan,All,1/6/20,0,0,
Azerbaijan,All,1/7/20,0,0,
Azerbaijan,All,1/8/20,0,0,
Azerbaijan,All,1/9/20,0,0,
Azerbaijan,All,1/10/20,0,0,
Azerbaijan,All,1/11/20,0,0,
Azerbaijan,All,1/12/20,0,0,
Azerbaijan,All,1/13/20,0,0,
Azerbaijan,All,1/14/20,0,0,
Azerbaijan,All,1/15/20,0,0,
Azerbaijan,All,1/16/20,0,0,
Azerbaijan,All,1/17/20,0,0,
Azerbaijan,All,1/18/20,0,0,
Azerbaijan,All,1/19/20,0,0,
Azerbaijan,All,1/20/20,0,0,
Azerbaijan,All,1/21/20,0,0,
Azerbaijan,All,1/22/20,0,0,
Azerbaijan,All,1/23/20,0,0,
Azerbaijan,All,1/24/20,0,0,
Azerbaijan,All,1/25/20,0,0,
Azerbaijan,All,1/26/20,0,0,
Azerbaijan,All,1/27/20,0,0,
Azerbaijan,All,1/28/20,0,0,
Azerbaijan,All,1/29/20,0,0,
Azerbaijan,All,1/30/20,0,0,
Azerbaijan,All,1/31/20,0,0,
Azerbaijan,All,2/1/20,0,0,
Azerbaijan,All,2/2/20,0,0,
Azerbaijan,All,2/3/20,0,0,
Azerbaijan,All,2/4/20,0,0,
Azerbaijan,All,2/5/20,0,0,
Azerbaijan,All,2/6/20,0,0,
Azerbaijan,All,2/7/20,0,0,
Azerbaijan,All,2/8/20,0,0,
Azerbaijan,All,2/9/20,0,0,
Azerbaijan,All,2/10/20,0,0,
Azerbaijan,All,2/11/20,0,0,
Azerbaijan,All,2/12/20,0,0,
Azerbaijan,All,2/13/20,0,0,
Azerbaijan,All,2/14/20,0,0,
Azerbaijan,All,2/15/20,0,0,
Azerbaijan,All,2/16/20,0,0,
Azerbaijan,All,2/17/20,0,0,
Azerbaijan,All,2/18/20,0,0,
Azerbaijan,All,2/19/20,0,0,
Azerbaijan,All,2/20/20,0,0,
Azerbaijan,All,2/21/20,0,0,
Azerbaijan,All,2/22/20,0,0,
Azerbaijan,All,2/23/20,0,0,
Azerbaijan,All,2/24/20,0,0,
Azerbaijan,All,2/25/20,0,0,
