country,state,population,rInitial,cfrInitial,flatteningDate,source,notes,continent
United States Virgin Islands,All,101000,,,2020-03-29,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
Uruguay,All,3388000,,,2020-03-17,,,South America
Uzbekistan,All,30566000,,,,,,Asia
Vanuatu,All,299000,,,,,,Oceania
Venezuela,All,31276000,,,2020-03-17,,,South America
Vietnam,All,98722000,,,2020-03-27,,,Asia
Wallis and Futuna,All,16000,,,,,,
Western Sahara,All,653000,,,,,,Africa
Yemen,All,29885000,,,,,,Asia
Zambia,All,17427000,,,2020-04-05,,Only -24%,Africa
Zimbabwe,All,15832000,,,2020-03-30,,,Africa
